"Supplementary Table S15. List of cell type-specific unmethylated markers (top 25), covered by Illumina TruSeq EPIC hybrid capture panel (hg19).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,chr,start,end,startCpG,endCpG,position,Number of CpGs,Length,Target meth. ,Background meth.,Diff,Genomic class,Gene,,p-value,,,,,,,,,,,
Endothel,chr19,48656842,48657373,24872936,24872945,chr19:48656842-48657373,9CpGs,531bp,0.289,0.811,0.522,intron,LIG1,,,,,,,,,,,,,
Endothel,chr17,79171130,79171386,23279091,23279100,chr17:79171130-79171386,9CpGs,256bp,0.293,0.879,0.586,intron,AZI1,,,,,,,,,,,,,
Endothel,chr6,118910535,118910943,10050241,10050248,chr6:118910535-118910943,7CpGs,408bp,0.278,0.872,0.594,intron,CEP85L,,,,,,,,,,,,,
Endothel,chr1,56877569,56877943,825640,825647,chr1:56877569-56877943,7CpGs,374bp,0.246,0.878,0.632,Intergenic,PPAP2B,,,,,,,,,,,,,
Endothel,chr2,127819304,127819650,3456914,3456924,chr2:127819304-127819650,10CpGs,346bp,0.267,0.825,0.558,intron,BIN1,,,,,,,,,,,,,
Epid-Kerat,chr10,8302733,8302842,14745744,14745754,chr10:8302733-8302842,10CpGs,109bp,0.0893,0.926,0.836,Intergenic,GATA3,,,,,,,,,,,,,
Epid-Kerat,chr21,46169969,46170229,26129268,26129290,chr21:46169969-46170229,22CpGs,260bp,0.0935,0.926,0.833,Intergenic,TSPEAR,,,,,,,,,,,,,
Epid-Kerat,chr17,10534794,10535329,22386676,22386697,chr17:10534794-10535329,21CpGs,535bp,0.165,0.92,0.755,intron,MYH3,,,,,,,,,,,,,
Epid-Kerat,chr2,15686808,15687804,2463709,2463718,chr2:15686808-15687804,9CpGs,996bp,0.16,0.93,0.77,intron,NBAS,,,,,,,,,,,,,
Epid-Kerat,chr13,27699652,27700120,18649730,18649748,chr13:27699652-27700120,18CpGs,468bp,0.246,0.96,0.713,intron,USP12,,,,,,,,,,,,,
Epid-Kerat,chr19,2230349,2230508,24099623,24099637,chr19:2230349-2230508,14CpGs,159bp,0.143,0.94,0.797,exon,DOT1L,,,,,,,,,,,,,
Epid-Kerat,chr16,81410860,81411377,22003630,22003645,chr16:81410860-81411377,15CpGs,517bp,0.103,0.943,0.84,exon,GAN,,,,,,,,,,,,,
Epid-Kerat,chr11,61917560,61917805,16532583,16532593,chr11:61917560-61917805,10CpGs,245bp,0.301,0.936,0.634,intron,INCENP,,,,,,,,,,,,,
Epid-Kerat,chr5,176860929,176861253,8977083,8977104,chr5:176860929-176861253,21CpGs,324bp,0.4,0.953,0.553,exon,GRK6,,,,,,,,,,,,,
Epid-Kerat,chr8,144203483,144203628,13347834,13347840,chr8:144203483-144203628,6CpGs,145bp,0.113,0.921,0.808,Intergenic,LY6H,,,,,,,,,,,,,
Epid-Kerat,chr6,12185473,12185769,9194566,9194572,chr6:12185473-12185769,6CpGs,296bp,0.0827,0.899,0.816,Intergenic,EDN1,,,,,,,,,,,,,
Epid-Kerat,chr9,130938714,130939120,14400989,14400997,chr9:130938714-130939120,8CpGs,406bp,0.186,0.941,0.755,intron,CIZ1,,,,,,,,,,,,,
Epid-Kerat,chr2,9960715,9960843,2404686,2404694,chr2:9960715-9960843,8CpGs,128bp,0.0347,0.884,0.849,Intergenic,TAF1B,,,,,,,,,,,,,
Epid-Kerat,chr6,26438217,26439216,9333877,9333892,chr6:26438217-26439216,15CpGs,999bp,0.334,0.959,0.625,Intergenic,BTN3A3,,,,,,,,,,,,,
Epid-Kerat,chr21,46169568,46169950,26129253,26129267,chr21:46169568-46169950,14CpGs,382bp,0.132,0.893,0.761,Intergenic,TSPEAR,,,,,,,,,,,,,
Epid-Kerat,chr22,45720025,45720530,26635607,26635621,chr22:45720025-45720530,14CpGs,505bp,0.27,0.93,0.659,intron,FAM118A,,,,,,,,,,,,,
Epid-Kerat,chr11,60515803,60515948,16507400,16507409,chr11:60515803-60515948,9CpGs,145bp,0.219,0.913,0.694,Intergenic,MS4A15,,,,,,,,,,,,,
Epid-Kerat,chr19,5683334,5683602,24198454,24198459,chr19:5683334-5683602,5CpGs,268bp,0.219,0.885,0.665,intron,HSD11B1L,,,,,,,,,,,,,
Epid-Kerat,chr17,639372,639583,22198510,22198520,chr17:639372-639583,10CpGs,211bp,0.243,0.947,0.705,intron,FAM57A,,,,,,,,,,,,,
Epid-Kerat,chr17,60739758,60740225,22992219,22992229,chr17:60739758-60740225,10CpGs,467bp,0.271,0.917,0.646,intron,MRC2,,,,,,,,,,,,,
Epid-Kerat,chr22,48605276,48605314,26689677,26689682,chr22:48605276-48605314,5CpGs,38bp,0.158,0.844,0.685,Intergenic,MIR3201,,,,,,,,,,,,,
Epid-Kerat,chr7,40938603,40938875,10966429,10966435,chr7:40938603-40938875,6CpGs,272bp,0.154,0.854,0.7,Intergenic,C7orf10,,,,,,,,,,,,,
Epid-Kerat,chr16,88709751,88710019,22139117,22139149,chr16:88709751-88710019,32CpGs,268bp,0.216,0.902,0.686,TTS;exon,CYBA,,,,,,,,,,,,,
Epid-Kerat,chr1,116690861,116691020,1262648,1262653,chr1:116690861-116691020,5CpGs,159bp,0.141,0.895,0.754,Intergenic,MAB21L3,,,,,,,,,,,,,
Epid-Kerat,chr17,79244962,79245282,23281640,23281654,chr17:79244962-79245282,14CpGs,320bp,0.0646,0.923,0.859,intron,SLC38A10,,,,,,,,,,,,,
Eryth-prog,chr5,140058343,140059406,8632111,8632127,chr5:140058343-140059406,16CpGs,1063bp,0.0906,0.959,0.869,intron,HARS,,,,,,,,,,,,,
Eryth-prog,chr19,56045142,56045197,25022888,25022895,chr19:56045142-56045197,7CpGs,55bp,0.0149,0.931,0.916,intron,SBK2,,,,,,,,,,,,,
Eryth-prog,chr12,113629175,113629399,18249441,18249456,chr12:113629175-113629399,15CpGs,224bp,0.0283,0.947,0.919,exon,C12orf52,,,,,,,,,,,,,
Eryth-prog,chr16,21548067,21548199,21441918,21441931,chr16:21548067-21548199,13CpGs,132bp,0.123,0.953,0.83,Intergenic,SLC7A5P2,,,,,,,,,,,,,
Eryth-prog,chr15,93482256,93483190,20989167,20989179,chr15:93482256-93483190,12CpGs,934bp,0.109,0.94,0.83,exon;intron,CHD2,,,,,,,,,,,,,
Eryth-prog,chr5,141487592,141487910,8654075,8654080,chr5:141487592-141487910,5CpGs,318bp,0.052,0.945,0.893,promoter-TSS,NDFIP1,,,,,,,,,,,,,
Eryth-prog,chr15,40851522,40852006,20427342,20427347,chr15:40851522-40852006,5CpGs,484bp,0.0191,0.945,0.926,intron,C15orf57,,,,,,,,,,,,,
Eryth-prog,chr7,156969612,156970261,12050968,12050982,chr7:156969612-156970261,14CpGs,649bp,0.148,0.955,0.807,intron,UBE3C,,,,,,,,,,,,,
Eryth-prog,chr10,127504782,127505166,15851903,15851910,chr10:127504782-127505166,7CpGs,384bp,0.147,0.954,0.807,intron,UROS,,,,,,,,,,,,,
Eryth-prog,chr16,449076,449259,21100366,21100373,chr16:449076-449259,7CpGs,183bp,0.133,0.931,0.798,exon;intron,NME4,,,,,,,,,,,,,
Eryth-prog,chr14,20871852,20872145,19372043,19372057,chr14:20871852-20872145,14CpGs,293bp,0.0987,0.931,0.832,intron,TEP1,,,,,,,,,,,,,
Eryth-prog,chr3,10178211,10178463,4533020,4533033,chr3:10178211-10178463,13CpGs,252bp,0.13,0.935,0.805,Intergenic,VHL,,,,,,,,,,,,,
Eryth-prog,chr17,76623204,76623502,23217444,23217454,chr17:76623204-76623502,10CpGs,298bp,0.0393,0.898,0.859,Intergenic,DNAH17,,,,,,,,,,,,,
Eryth-prog,chr8,41654193,41654456,12548235,12548244,chr8:41654193-41654456,9CpGs,263bp,0.0056,0.905,0.899,intron,ANK1,,,,,,,,,,,,,
Eryth-prog,chr8,41654461,41654661,12548245,12548253,chr8:41654461-41654661,8CpGs,200bp,0.0111,0.912,0.901,intron,ANK1,,,,,,,,,,,,,
Eryth-prog,chr12,123506738,123507507,18385219,18385230,chr12:123506738-123507507,11CpGs,769bp,0.182,0.945,0.763,intron,PITPNM2,,,,,,,,,,,,,
Eryth-prog,chr1,1197516,1197867,23567,23583,chr1:1197516-1197867,16CpGs,351bp,0.0801,0.942,0.862,intron,UBE2J2,,,,,,,,,,,,,
Eryth-prog,chr13,52596411,52597079,18866773,18866785,chr13:52596411-52597079,12CpGs,668bp,0.132,0.961,0.83,intron,ALG11,,,,,,,,,,,,,
Eryth-prog,chr1,228333578,228333910,2055901,2055914,chr1:228333578-228333910,13CpGs,332bp,0.00932,0.897,0.887,intron,GUK1,,,,,,,,,,,,,
Eryth-prog,chr9,101517281,101518014,14120475,14120484,chr9:101517281-101518014,9CpGs,733bp,0.163,0.928,0.765,intron,ANKS6,,,,,,,,,,,,,
Eryth-prog,chr16,29633436,29634235,21546178,21546210,chr16:29633436-29634235,32CpGs,799bp,0.15,0.937,0.787,Intergenic,SLC7A5P1,,,,,,,,,,,,,
Eryth-prog,chr12,10854582,10854720,17414613,17414626,chr12:10854582-10854720,13CpGs,138bp,0.0043,0.948,0.944,intron,CSDA,,,,,,,,,,,,,
Eryth-prog,chr15,45709691,45710062,20491125,20491131,chr15:45709691-45710062,6CpGs,371bp,0.153,0.947,0.795,exon;intron,SPATA5L1,,,,,,,,,,,,,
Eryth-prog,chr3,143000676,143002139,5619028,5619033,chr3:143000676-143002139,5CpGs,1463bp,0.00659,0.916,0.91,intron,SLC9A9,,,,,,,,,,,,,
Eryth-prog,chr2,37642469,37642704,2676573,2676579,chr2:37642469-37642704,6CpGs,235bp,0.00736,0.938,0.931,Intergenic,QPCT,,,,,,,,,,,,,
Fallopian-Ep,chr17,12902144,12902626,22411764,22411775,chr17:12902144-12902626,11CpGs,482bp,0.075,0.942,0.867,intron,ELAC2,,,,,,,,,,,,,
Fallopian-Ep,chr1,169165330,169166059,1566953,1566960,chr1:169165330-169166059,7CpGs,729bp,0.0284,0.922,0.893,intron,NME7,,,,,,,,,,,,,
Fallopian-Ep,chr4,22603266,22603730,6353017,6353026,chr4:22603266-22603730,9CpGs,464bp,0.093,0.936,0.843,Intergenic,GPR125,,,,,,,,,,,,,
Fallopian-Ep,chr16,83997324,83997563,22034373,22034378,chr16:83997324-83997563,5CpGs,239bp,0.115,0.858,0.743,intron,OSGIN1,,,,,,,,,,,,,
Fallopian-Ep,chr12,75702858,75703172,17939844,17939851,chr12:75702858-75703172,7CpGs,314bp,0.243,0.929,0.686,intron,CAPS2,,,,,,,,,,,,,
Fallopian-Ep,chr10,88403481,88403563,15455946,15455951,chr10:88403481-88403563,5CpGs,82bp,0.011,0.866,0.855,Intergenic,OPN4,,,,,,,,,,,,,
Fallopian-Ep,chr5,15937192,15937405,7732903,7732917,chr5:15937192-15937405,14CpGs,213bp,0.269,0.945,0.677,exon,FBXL7,,,,,,,,,,,,,
Fallopian-Ep,chr21,16915668,16915943,25827303,25827308,chr21:16915668-16915943,5CpGs,275bp,0.0435,0.846,0.802,Intergenic,USP25,,,,,,,,,,,,,
Fallopian-Ep,chr21,43940790,43941201,26078256,26078269,chr21:43940790-43941201,13CpGs,411bp,0.131,0.876,0.745,intron,SLC37A1,,,,,,,,,,,,,
Fallopian-Ep,chr14,46854120,46854411,19575648,19575653,chr14:46854120-46854411,5CpGs,291bp,0.0798,0.899,0.82,Intergenic,RPL10L,,,,,,,,,,,,,
Fallopian-Ep,chr9,84235817,84236762,13933900,13933907,chr9:84235817-84236762,7CpGs,945bp,0.0169,0.87,0.853,intron,TLE1,,,,,,,,,,,,,
Fallopian-Ep,chr3,178101164,178101551,5856923,5856929,chr3:178101164-178101551,6CpGs,387bp,0.0849,0.872,0.787,Intergenic,KCNMB2-IT1,,,,,,,,,,,,,
Fallopian-Ep,chr3,107383134,107383921,5313039,5313046,chr3:107383134-107383921,7CpGs,787bp,0.218,0.905,0.687,intron,BBX,,,,,,,,,,,,,
Fallopian-Ep,chr4,22601915,22602552,6353003,6353011,chr4:22601915-22602552,8CpGs,637bp,0.017,0.876,0.859,Intergenic,GPR125,,,,,,,,,,,,,
Fallopian-Ep,chr14,66423698,66423803,19744035,19744040,chr14:66423698-66423803,5CpGs,105bp,0.0372,0.9,0.863,Intergenic,LINC00238,,,,,,,,,,,,,
Fallopian-Ep,chr9,97723274,97724067,14073061,14073068,chr9:97723274-97724067,7CpGs,793bp,0.306,0.915,0.61,intron,C9orf3,,,,,,,,,,,,,
Fallopian-Ep,chr16,87511831,87512238,22106814,22106823,chr16:87511831-87512238,9CpGs,407bp,0.159,0.923,0.764,intron,ZCCHC14,,,,,,,,,,,,,
Fallopian-Ep,chr10,134593141,134593533,15956105,15956133,chr10:134593141-134593533,28CpGs,392bp,0.124,0.947,0.824,intron,INPP5A,,,,,,,,,,,,,
Fallopian-Ep,chr10,23234910,23235847,14901230,14901235,chr10:23234910-23235847,5CpGs,937bp,0.139,0.843,0.704,intron,ARMC3,,,,,,,,,,,,,
Fallopian-Ep,chr14,75363159,75363611,19835725,19835730,chr14:75363159-75363611,5CpGs,452bp,0.0638,0.929,0.865,intron,DLST,,,,,,,,,,,,,
Fallopian-Ep,chr8,134052685,134053157,13226445,13226452,chr8:134052685-134053157,7CpGs,472bp,0.255,0.856,0.601,intron,SLA,,,,,,,,,,,,,
Fallopian-Ep,chr11,134594112,134594277,17269987,17269993,chr11:134594112-134594277,6CpGs,165bp,0.0831,0.846,0.763,Intergenic,LOC283177,,,,,,,,,,,,,
Fallopian-Ep,chr11,6225287,6225890,16093975,16093982,chr11:6225287-6225890,7CpGs,603bp,0.123,0.898,0.776,Intergenic,C11orf42,,,,,,,,,,,,,
Fallopian-Ep,chr10,5683993,5684494,14710615,14710628,chr10:5683993-5684494,13CpGs,501bp,0.284,0.916,0.632,intron,ASB13,,,,,,,,,,,,,
Fallopian-Ep,chr9,138413253,138413365,14554359,14554366,chr9:138413253-138413365,7CpGs,112bp,0.198,0.854,0.656,promoter-TSS,LCN1,,,,,,,,,,,,,
Gallbladder,chr17,60217549,60217822,22985507,22985522,chr17:60217549-60217822,15CpGs,273bp,0.0197,0.911,0.891,Intergenic,MED13,,,,,,,,,,,,,
Gallbladder,chr17,60217867,60217996,22985523,22985537,chr17:60217867-60217996,14CpGs,129bp,0,0.935,0.935,Intergenic,MED13,,,,,,,,,,,,,
Gallbladder,chr6,111272867,111273199,9997804,9997815,chr6:111272867-111273199,11CpGs,332bp,0.011,0.932,0.921,Intergenic,GTF3C6,,,,,,,,,,,,,
Gallbladder,chr11,1247831,1247979,16019056,16019071,chr11:1247831-1247979,15CpGs,148bp,0.00915,0.897,0.888,exon,MUC5B,,,,,,,,,,,,,
Gallbladder,chr17,79429246,79429477,23288183,23288199,chr17:79429246-79429477,16CpGs,231bp,0.0242,0.936,0.912,intron,BAHCC1,,,,,,,,,,,,,
Gallbladder,chr17,79429555,79429841,23288201,23288218,chr17:79429555-79429841,17CpGs,286bp,0.00769,0.945,0.937,intron,BAHCC1,,,,,,,,,,,,,
Gallbladder,chr19,55740650,55740846,25014103,25014115,chr19:55740650-55740846,12CpGs,196bp,0.0767,0.952,0.875,TTS;promoter-TSS,PPP6R1;TMEM86B,,,,,,,,,,,,,
Gallbladder,chr17,79429871,79430280,23288219,23288236,chr17:79429871-79430280,17CpGs,409bp,0.0455,0.939,0.894,intron,BAHCC1,,,,,,,,,,,,,
Gallbladder,chr19,40472309,40473010,24727149,24727164,chr19:40472309-40473010,15CpGs,701bp,0.0453,0.922,0.876,Intergenic,PSMC4,,,,,,,,,,,,,
Gallbladder,chr5,500073,500481,7558697,7558719,chr5:500073-500481,22CpGs,408bp,0.0465,0.914,0.868,intron,SLC9A3,,,,,,,,,,,,,
Gallbladder,chr17,79425169,79425878,23287963,23287997,chr17:79425169-79425878,34CpGs,709bp,0.106,0.937,0.831,intron,BAHCC1,,,,,,,,,,,,,
Gallbladder,chr14,23748661,23749018,19405613,19405621,chr14:23748661-23749018,8CpGs,357bp,0.0451,0.93,0.885,intron,HOMEZ,,,,,,,,,,,,,
Gallbladder,chr19,1293440,1293583,24064100,24064110,chr19:1293440-1293583,10CpGs,143bp,0.00641,0.905,0.899,intron,EFNA2,,,,,,,,,,,,,
Gallbladder,chr16,88560088,88560833,22134543,22134577,chr16:88560088-88560833,34CpGs,745bp,0.203,0.946,0.743,intron,ZFPM1,,,,,,,,,,,,,
Gallbladder,chr2,235857897,235857967,4320385,4320391,chr2:235857897-235857967,6CpGs,70bp,0.0904,0.946,0.856,Intergenic,SH3BP4,,,,,,,,,,,,,
Gallbladder,chr3,171463829,171464225,5809401,5809422,chr3:171463829-171464225,21CpGs,396bp,0.0165,0.953,0.937,intron,PLD1,,,,,,,,,,,,,
Gallbladder,chr18,60670580,60671588,23840496,23840508,chr18:60670580-60671588,12CpGs,1008bp,0.0146,0.901,0.886,Intergenic,PHLPP1,,,,,,,,,,,,,
Gallbladder,chr16,81819407,81819798,22011441,22011457,chr16:81819407-81819798,16CpGs,391bp,0.0699,0.919,0.849,exon;intron,PLCG2,,,,,,,,,,,,,
Gallbladder,chr11,64784378,64784793,16583638,16583646,chr11:64784378-64784793,8CpGs,415bp,0.0602,0.925,0.865,intron,ARL2-SNX15,,,,,,,,,,,,,
Gallbladder,chr1,16444223,16444600,303855,303863,chr1:16444223-16444600,8CpGs,377bp,0.108,0.924,0.816,Intergenic,EPHA2,,,,,,,,,,,,,
Gallbladder,chr17,77919294,77919595,23246679,23246693,chr17:77919294-77919595,14CpGs,301bp,0.144,0.921,0.777,intron,TBC1D16,,,,,,,,,,,,,
Gallbladder,chr11,39868259,39868438,16358208,16358217,chr11:39868259-39868438,9CpGs,179bp,0.0791,0.932,0.853,Intergenic,LRRC4C,,,,,,,,,,,,,
Gallbladder,chr2,242385224,242385905,4431115,4431125,chr2:242385224-242385905,10CpGs,681bp,0.26,0.945,0.685,intron,FARP2,,,,,,,,,,,,,
Gallbladder,chr21,44355977,44356486,26087487,26087498,chr21:44355977-44356486,11CpGs,509bp,0.05,0.925,0.875,Intergenic,PKNOX1,,,,,,,,,,,,,
Gallbladder,chr3,171343018,171343327,5808364,5808371,chr3:171343018-171343327,7CpGs,309bp,0.0513,0.883,0.831,intron,PLD1,,,,,,,,,,,,,
Gastric-Ep,chr2,103095409,103095902,3231709,3231735,chr2:103095409-103095902,26CpGs,493bp,0.0224,0.916,0.894,exon,SLC9A4,,,,,,,,,,,,,
Gastric-Ep,chr3,137717665,137717901,5571309,5571321,chr3:137717665-137717901,12CpGs,236bp,0.0159,0.924,0.908,exon,CLDN18,,,,,,,,,,,,,
Gastric-Ep,chr2,98376000,98376235,3179934,3179940,chr2:98376000-98376235,6CpGs,235bp,0.0419,0.93,0.888,exon,TMEM131,,,,,,,,,,,,,
Gastric-Ep,chr13,22036153,22036386,18588136,18588142,chr13:22036153-22036386,6CpGs,233bp,0.101,0.937,0.836,Intergenic,ZDHHC20,,,,,,,,,,,,,
Gastric-Ep,chr6,107388675,107389286,9958760,9958774,chr6:107388675-107389286,14CpGs,611bp,0.0297,0.923,0.893,intron,C6orf203,,,,,,,,,,,,,
Gastric-Ep,chr6,523301,523902,9059824,9059831,chr6:523301-523902,7CpGs,601bp,0.131,0.954,0.823,intron,EXOC2,,,,,,,,,,,,,
Gastric-Ep,chr8,6595371,6595860,12188996,12189001,chr8:6595371-6595860,5CpGs,489bp,0.0819,0.954,0.872,intron,AGPAT5,,,,,,,,,,,,,
Gastric-Ep,chr16,81295026,81295120,22002090,22002096,chr16:81295026-81295120,6CpGs,94bp,0.0262,0.893,0.867,intron,BCMO1,,,,,,,,,,,,,
Gastric-Ep,chr10,490007,490215,14639943,14639953,chr10:490007-490215,10CpGs,208bp,0.0672,0.938,0.871,intron,DIP2C,,,,,,,,,,,,,
Gastric-Ep,chr1,38353963,38354186,619266,619271,chr1:38353963-38354186,5CpGs,223bp,0.0598,0.927,0.867,intron,INPP5B,,,,,,,,,,,,,
Gastric-Ep,chr10,120931928,120932152,15769414,15769422,chr10:120931928-120932152,8CpGs,224bp,0.163,0.942,0.779,intron,PRDX3,,,,,,,,,,,,,
Gastric-Ep,chr6,41711422,41712518,9529005,9529014,chr6:41711422-41712518,9CpGs,1096bp,0.0468,0.861,0.814,intron,PGC,,,,,,,,,,,,,
Gastric-Ep,chr8,16856591,16857118,12304845,12304853,chr8:16856591-16857118,8CpGs,527bp,0.127,0.915,0.788,intron,FGF20,,,,,,,,,,,,,
Gastric-Ep,chr12,112694142,112694609,18238443,18238448,chr12:112694142-112694609,5CpGs,467bp,0.261,0.922,0.661,intron,HECTD4,,,,,,,,,,,,,
Gastric-Ep,chr6,119149733,119150369,10052560,10052573,chr6:119149733-119150369,13CpGs,636bp,0.25,0.947,0.697,exon;intron,MCM9,,,,,,,,,,,,,
Gastric-Ep,chr2,198263460,198264377,3978544,3978550,chr2:198263460-198264377,6CpGs,917bp,0.13,0.908,0.778,intron,SF3B1,,,,,,,,,,,,,
Gastric-Ep,chr4,6958629,6958910,6205884,6205891,chr4:6958629-6958910,7CpGs,281bp,0.0966,0.905,0.809,intron,TBC1D14,,,,,,,,,,,,,
Gastric-Ep,chr5,133353590,133353841,8556790,8556797,chr5:133353590-133353841,7CpGs,251bp,0.0553,0.881,0.826,Intergenic,VDAC1,,,,,,,,,,,,,
Gastric-Ep,chr6,41727035,41727454,9529214,9529223,chr6:41727035-41727454,9CpGs,419bp,0.0283,0.877,0.848,Intergenic,PGC,,,,,,,,,,,,,
Gastric-Ep,chr21,43960300,43960588,26078643,26078648,chr21:43960300-43960588,5CpGs,288bp,0.0894,0.884,0.794,intron,SLC37A1,,,,,,,,,,,,,
Gastric-Ep,chr7,23456232,23456453,10808464,10808470,chr7:23456232-23456453,6CpGs,221bp,0.0704,0.918,0.848,intron,IGF2BP3,,,,,,,,,,,,,
Gastric-Ep,chr6,96461709,96462238,9885547,9885552,chr6:96461709-96462238,5CpGs,529bp,0.0392,0.818,0.779,Intergenic,FUT9,,,,,,,,,,,,,
Gastric-Ep,chr10,121049517,121049657,15771440,15771445,chr10:121049517-121049657,5CpGs,140bp,0.0534,0.868,0.815,intron,GRK5,,,,,,,,,,,,,
Gastric-Ep,chr15,45313227,45313510,20485905,20485914,chr15:45313227-45313510,9CpGs,283bp,0.281,0.945,0.663,Intergenic,SORD,,,,,,,,,,,,,
Gastric-Ep,chr2,43280055,43280766,2727807,2727814,chr2:43280055-43280766,7CpGs,711bp,0.0628,0.907,0.844,Intergenic,ZFP36L2,,,,,,,,,,,,,
Head-Neck-Ep,chr7,107851407,107851946,11604326,11604334,chr7:107851407-107851946,8CpGs,539bp,0.0896,0.904,0.814,intron,NRCAM,,,,,,,,,,,,,
Head-Neck-Ep,chr9,107109138,107109515,14158871,14158879,chr9:107109138-107109515,8CpGs,377bp,0.0595,0.905,0.845,Intergenic,OR13F1,,,,,,,,,,,,,
Head-Neck-Ep,chr12,53251350,53251752,17750290,17750299,chr12:53251350-53251752,9CpGs,402bp,0.0741,0.906,0.832,Intergenic,KRT78,,,,,,,,,,,,,
Head-Neck-Ep,chr11,130242997,130243058,17220237,17220242,chr11:130242997-130243058,5CpGs,61bp,0.222,0.925,0.703,Intergenic,ADAMTS8,,,,,,,,,,,,,
Head-Neck-Ep,chr4,69018630,69018725,6664611,6664616,chr4:69018630-69018725,5CpGs,95bp,0.0546,0.907,0.852,Intergenic,TMPRSS11F,,,,,,,,,,,,,
Head-Neck-Ep,chr9,139546439,139546630,14586477,14586488,chr9:139546439-139546630,11CpGs,191bp,0.0337,0.916,0.882,Intergenic,EGFL7,,,,,,,,,,,,,
Head-Neck-Ep,chr2,121550957,121551278,3406683,3406694,chr2:121550957-121551278,11CpGs,321bp,0.0909,0.864,0.774,Intergenic,GLI2,,,,,,,,,,,,,
Head-Neck-Ep,chr17,34808227,34809173,22652735,22652753,chr17:34808227-34809173,18CpGs,946bp,0.233,0.725,0.491,Intergenic;intron;promoter-TSS,TBC1D3G,,,,,,,,,,,,,
Head-Neck-Ep,chr22,50954593,50954994,26745299,26745310,chr22:50954593-50954994,11CpGs,401bp,0.0889,0.896,0.807,intron,NCAPH2,,,,,,,,,,,,,
Head-Neck-Ep,chr15,67728831,67729070,20698348,20698354,chr15:67728831-67729070,6CpGs,239bp,0.117,0.924,0.807,intron,IQCH-AS1,,,,,,,,,,,,,
Head-Neck-Ep,chr20,44416524,44416741,25507628,25507634,chr20:44416524-44416741,6CpGs,217bp,0.0639,0.901,0.837,exon;intron,WFDC3,,,,,,,,,,,,,
Head-Neck-Ep,chr9,72649112,72649759,13845848,13845853,chr9:72649112-72649759,5CpGs,647bp,0.141,0.876,0.734,intron,MAMDC2,,,,,,,,,,,,,
Head-Neck-Ep,chr15,31289788,31290120,20337932,20337943,chr15:31289788-31290120,11CpGs,332bp,0.106,0.948,0.842,Intergenic,MTMR10,,,,,,,,,,,,,
Head-Neck-Ep,chr16,8850737,8850920,21275620,21275625,chr16:8850737-8850920,5CpGs,183bp,0.119,0.879,0.76,intron,ABAT,,,,,,,,,,,,,
Head-Neck-Ep,chr6,17877991,17878750,9256825,9256830,chr6:17877991-17878750,5CpGs,759bp,0.298,0.911,0.613,intron,KIF13A,,,,,,,,,,,,,
Head-Neck-Ep,chr17,70698846,70699033,23102578,23102583,chr17:70698846-70699033,5CpGs,187bp,0.0916,0.906,0.814,intron,SLC39A11,,,,,,,,,,,,,
Head-Neck-Ep,chr2,99649323,99649435,3193723,3193728,chr2:99649323-99649435,5CpGs,112bp,0.187,0.9,0.713,intron,TSGA10,,,,,,,,,,,,,
Head-Neck-Ep,chr3,81806764,81808042,5176055,5176062,chr3:81806764-81808042,7CpGs,1278bp,0.178,0.918,0.741,intron,GBE1,,,,,,,,,,,,,
Head-Neck-Ep,chr7,101651783,101652111,11541321,11541329,chr7:101651783-101652111,8CpGs,328bp,0.233,0.866,0.633,intron,CUX1,,,,,,,,,,,,,
Head-Neck-Ep,chr2,72255311,72255585,2979333,2979339,chr2:72255311-72255585,6CpGs,274bp,0.247,0.932,0.685,Intergenic,CYP26B1,,,,,,,,,,,,,
Head-Neck-Ep,chr2,223751300,223752564,4199029,4199039,chr2:223751300-223752564,10CpGs,1264bp,0.253,0.937,0.684,intron,ACSL3,,,,,,,,,,,,,
Head-Neck-Ep,chr2,54308397,54308733,2821879,2821886,chr2:54308397-54308733,7CpGs,336bp,0.264,0.934,0.671,Intergenic,ACYP2,,,,,,,,,,,,,
Head-Neck-Ep,chr1,113740846,113741106,1238156,1238163,chr1:113740846-113741106,7CpGs,260bp,0.125,0.86,0.736,exon,LOC643441,,,,,,,,,,,,,
Head-Neck-Ep,chr2,217674422,217674498,4136407,4136412,chr2:217674422-217674498,5CpGs,76bp,0.0903,0.943,0.852,Intergenic,TNP1,,,,,,,,,,,,,
Head-Neck-Ep,chr6,83781122,83781223,9801155,9801160,chr6:83781122-83781223,5CpGs,101bp,0.181,0.904,0.723,intron,DOPEY1,,,,,,,,,,,,,
Heart-Cardio,chr11,68550315,68550776,16661117,16661142,chr11:68550315-68550776,25CpGs,461bp,0.115,0.955,0.84,intron,CPT1A,,,,,,,,,,,,,
Heart-Cardio,chr5,134686461,134686575,8574847,8574856,chr5:134686461-134686575,9CpGs,114bp,0.121,0.949,0.828,intron,H2AFY,,,,,,,,,,,,,
Heart-Cardio,chr15,44171204,44172030,20474363,20474380,chr15:44171204-44172030,17CpGs,826bp,0.0846,0.954,0.869,intron;promoter-TSS,FRMD5;PIN4P1,,,,,,,,,,,,,
Heart-Cardio,chr3,176989876,176990257,5848322,5848335,chr3:176989876-176990257,13CpGs,381bp,0.0979,0.964,0.866,Intergenic,TBL1XR1,,,,,,,,,,,,,
