CpG,Chr,Position,Nearest gene,Gene group,Mean,SD,EST (week,P (week),EST (decade),P (decade),EST (life),P (life),FDR p (week),FDR p (decade),FDR p (life),Novel,Any at 10-7,Any at FDR=0.05
cg06874403,10,21799047,,,0.62,0.053,-0.0008,2.4E-04,-0.0006,2.2E-03,-0.0007,1.5E-03,1.3E-02,1.1E-01,8.0E-02,,,yes
cg22628926,17,4844700,SLC25A11,TSS1500,0.28,0.049,-0.0008,2.4E-04,-0.0002,4.4E-01,0.0000,8.8E-01,1.3E-02,8.3E-01,9.8E-01,,,yes
cg07247405,1,2484626,LOC115110,TSS1500,0.59,0.071,-0.0008,2.4E-04,-0.0004,4.7E-02,-0.0007,5.4E-03,1.3E-02,4.2E-01,1.6E-01,,,yes
cg09419900,10,124739466,PSTK,TSS200,0.43,0.079,-0.0008,2.4E-04,-0.0005,1.7E-02,-0.0006,1.0E-02,1.4E-02,2.8E-01,2.2E-01,,,yes
cg12320750,17,17944975,C17orf39,Body,0.70,0.048,-0.0006,2.4E-04,-0.0004,4.3E-03,-0.0009,5.0E-07,1.4E-02,1.5E-01,4.0E-04,,,yes
cg11041314,5,139021650,,,0.89,0.030,-0.0010,2.4E-04,-0.0007,3.2E-03,-0.0004,1.2E-01,1.4E-02,1.3E-01,5.9E-01,,,yes
cg06004033,12,104173675,NT5DC3,Body,0.67,0.066,-0.0011,2.4E-04,-0.0010,7.5E-05,-0.0009,1.9E-03,1.4E-02,1.4E-02,9.1E-02,,,yes
cg25432738,13,21009861,CRYL1,Body,0.86,0.074,-0.0022,2.4E-04,-0.0023,2.9E-05,-0.0021,6.3E-04,1.4E-02,7.3E-03,4.8E-02,,,yes
cg14920846,1,201618209,NAV1,1stExon,0.51,0.086,-0.0013,2.4E-04,-0.0012,3.0E-04,-0.0013,5.7E-04,1.4E-02,3.3E-02,4.5E-02,,,yes
cg27324426,19,58220837,ZNF154,TSS1500,0.20,0.084,-0.0019,2.4E-04,-0.0015,1.9E-03,-0.0013,1.3E-02,1.4E-02,9.8E-02,2.4E-01,,,yes
cg13520520,19,11616957,ECSIT,3'UTR,0.33,0.063,-0.0010,2.4E-04,-0.0008,2.5E-03,-0.0007,2.3E-02,1.4E-02,1.1E-01,3.1E-01,,,yes
cg26814100,6,136724451,MAP7,Body,0.68,0.106,-0.0010,2.4E-04,-0.0008,6.3E-04,-0.0005,9.4E-02,1.4E-02,5.2E-02,5.3E-01,,,yes
cg19951006,12,56732615,IL23A,TSS200,0.55,0.099,-0.0012,2.4E-04,-0.0009,4.5E-03,-0.0012,2.8E-04,1.4E-02,1.5E-01,2.9E-02,,,yes
cg26332052,17,73780035,UNK,TSS1500,0.62,0.063,-0.0009,2.4E-04,-0.0007,3.1E-03,-0.0010,2.0E-04,1.4E-02,1.3E-01,2.3E-02,,,yes
cg20132791,6,35992595,SLC26A8,TSS1500,0.70,0.062,-0.0009,2.4E-04,-0.0008,9.1E-05,-0.0005,2.7E-02,1.4E-02,1.5E-02,3.3E-01,,,yes
cg11921958,11,67068769,ANKRD13D,Body,0.57,0.067,-0.0006,2.4E-04,-0.0006,2.5E-04,-0.0005,5.0E-03,1.4E-02,2.9E-02,1.5E-01,,,yes
cg20721022,19,54386355,PRKCG,Body,0.25,0.058,-0.0011,2.4E-04,-0.0006,3.8E-02,-0.0003,3.2E-01,1.4E-02,3.9E-01,7.8E-01,,,yes
cg08711674,19,50381878,AKT1S1,TSS1500,0.59,0.040,-0.0006,2.4E-04,-0.0004,2.9E-03,-0.0007,4.1E-05,1.4E-02,1.2E-01,8.6E-03,,,yes
cg22678092,1,161691014,FCRLB,TSS1500,0.60,0.082,-0.0012,2.4E-04,-0.0006,5.2E-02,-0.0008,1.3E-02,1.4E-02,4.3E-01,2.4E-01,,,yes
cg07571337,10,93805844,,,0.91,0.028,-0.0012,2.4E-04,-0.0013,3.1E-05,-0.0013,2.3E-04,1.4E-02,7.5E-03,2.5E-02,,,yes
cg18614702,10,72215990,,,0.57,0.056,-0.0007,2.4E-04,-0.0005,4.1E-03,-0.0004,4.1E-02,1.4E-02,1.5E-01,3.9E-01,,,yes
cg00338479,1,38551357,,,0.46,0.044,-0.0006,2.4E-04,-0.0005,6.3E-04,-0.0009,1.0E-07,1.4E-02,5.2E-02,1.3E-04,,,yes
cg10998291,3,194876449,C3orf21,Body,0.89,0.036,-0.0012,2.4E-04,-0.0011,2.1E-04,-0.0008,1.3E-02,1.4E-02,2.6E-02,2.4E-01,,,yes
cg04079779,16,2256121,MLST8,Body,0.28,0.083,-0.0016,2.4E-04,-0.0011,9.4E-03,-0.0012,8.9E-03,1.4E-02,2.2E-01,2.0E-01,,,yes
cg16119372,1,202321656,PPP1R12B,Body,0.94,0.019,-0.0012,2.4E-04,-0.0009,3.9E-03,-0.0011,9.5E-04,1.4E-02,1.4E-01,6.1E-02,,,yes
cg25570486,20,61621446,,,0.64,0.034,-0.0005,2.4E-04,-0.0002,9.6E-02,-0.0004,5.3E-03,1.4E-02,5.4E-01,1.5E-01,,,yes
cg00966098,16,30596551,ZNF785,Body,0.13,0.053,-0.0012,2.4E-04,-0.0007,1.8E-02,-0.0011,1.3E-03,1.4E-02,2.9E-01,7.4E-02,,,yes
cg19730379,10,104542002,C10orf26,Body,0.63,0.111,-0.0009,2.4E-04,-0.0009,1.2E-04,-0.0008,2.3E-03,1.4E-02,1.9E-02,1.0E-01,,,yes
cg08473752,17,26517057,NLK,Body,0.64,0.103,-0.0008,2.4E-04,-0.0006,1.7E-03,-0.0006,6.5E-03,1.4E-02,9.2E-02,1.7E-01,,,yes
cg26491624,16,16184240,ABCC1,Body,0.92,0.036,-0.0017,2.4E-04,-0.0014,1.0E-03,-0.0014,2.2E-03,1.4E-02,6.8E-02,9.9E-02,,,yes
cg10316141,15,99068324,,,0.52,0.042,-0.0005,2.4E-04,-0.0005,2.9E-04,-0.0005,4.0E-04,1.4E-02,3.2E-02,3.6E-02,,,yes
cg18271897,17,75316784,40057,5'UTR,0.51,0.081,-0.0007,2.4E-04,-0.0006,1.0E-03,-0.0005,2.4E-02,1.4E-02,6.8E-02,3.2E-01,,,yes
cg05712931,18,77219240,NFATC1,Body,0.89,0.030,-0.0009,2.4E-04,-0.0004,7.8E-02,-0.0005,7.6E-02,1.4E-02,5.0E-01,5.0E-01,,,yes
cg07282816,17,26711393,SARM1,Body,0.27,0.054,-0.0008,2.4E-04,-0.0008,1.6E-04,-0.0007,4.3E-03,1.4E-02,2.2E-02,1.4E-01,,,yes
cg14385325,17,74564821,ST6GALNAC2,Body,0.39,0.040,-0.0005,2.4E-04,-0.0004,5.5E-04,-0.0004,3.5E-03,1.4E-02,4.8E-02,1.2E-01,,,yes
cg22740796,10,132461281,,,0.61,0.082,-0.0013,2.4E-04,-0.0010,1.6E-03,-0.0008,1.7E-02,1.4E-02,8.9E-02,2.7E-01,,,yes
cg19254163,11,60623782,GPR44,TSS1500,0.70,0.057,-0.0009,2.4E-04,-0.0007,1.9E-03,-0.0008,5.4E-04,1.4E-02,9.7E-02,4.4E-02,,,yes
cg01311537,10,50386709,C10orf128,Body,0.88,0.047,-0.0015,2.4E-04,-0.0013,3.8E-04,-0.0009,2.6E-02,1.4E-02,3.8E-02,3.3E-01,,,yes
cg06474661,17,48239271,,,0.76,0.059,-0.0010,2.4E-04,-0.0011,1.1E-05,-0.0013,4.0E-06,1.4E-02,3.7E-03,1.8E-03,no,,yes
cg15789723,6,30510662,GNL1,3'UTR,0.70,0.039,-0.0006,2.4E-04,-0.0005,2.0E-03,-0.0005,5.9E-03,1.4E-02,1.0E-01,1.6E-01,,,yes
cg12341429,2,161887154,,,0.84,0.036,-0.0009,2.4E-04,-0.0009,2.0E-04,-0.0006,1.5E-02,1.4E-02,2.6E-02,2.6E-01,,,yes
cg25996835,15,72978165,BBS4,TSS1500,0.11,0.050,-0.0018,2.4E-04,-0.0009,3.9E-02,-0.0007,1.7E-01,1.4E-02,3.9E-01,6.5E-01,,,yes
cg16604218,1,45452605,EIF2B3,TSS1500,0.36,0.080,-0.0013,2.4E-04,-0.0010,2.9E-03,-0.0010,7.8E-03,1.4E-02,1.2E-01,1.9E-01,,,yes
cg00995520,1,111218282,KCNA3,TSS1500,0.71,0.095,-0.0014,2.4E-04,-0.0006,1.1E-01,-0.0011,5.3E-03,1.4E-02,5.5E-01,1.5E-01,,,yes
cg07710073,3,42628330,,,0.82,0.035,-0.0006,2.4E-04,-0.0005,3.7E-03,-0.0004,3.0E-02,1.4E-02,1.4E-01,3.4E-01,,,yes
cg15998609,1,216774956,ESRRG,Body,0.52,0.079,-0.0011,2.4E-04,-0.0010,5.3E-04,-0.0010,1.7E-03,1.4E-02,4.7E-02,8.6E-02,,,yes
cg18158438,11,64322994,SLC22A11,TSS200,0.55,0.084,-0.0010,2.4E-04,-0.0007,3.4E-03,-0.0007,1.3E-02,1.4E-02,1.3E-01,2.4E-01,,,yes
cg02325250,5,131409289,CSF2,TSS200,0.59,0.058,-0.0008,2.4E-04,-0.0006,6.3E-03,-0.0005,1.9E-02,1.4E-02,1.8E-01,2.8E-01,,,yes
cg24039962,1,172507360,C1orf9,Body,0.88,0.036,-0.0011,2.4E-04,-0.0007,1.1E-02,-0.0005,1.1E-01,1.4E-02,2.3E-01,5.7E-01,,,yes
cg02694925,18,77904435,LOC100130522,TSS1500,0.94,0.016,-0.0010,2.4E-04,-0.0008,1.0E-03,-0.0008,5.4E-03,1.4E-02,6.8E-02,1.6E-01,,,yes
cg12160317,4,4228165,OTOP1,Body,0.18,0.047,-0.0010,2.5E-04,-0.0009,2.4E-04,-0.0009,1.0E-03,1.4E-02,2.8E-02,6.3E-02,,,yes
cg24496614,11,61735970,FTH1,TSS1500,0.21,0.040,-0.0007,2.5E-04,-0.0006,7.3E-04,-0.0007,5.2E-04,1.4E-02,5.7E-02,4.3E-02,,,yes
cg00513288,19,2358394,,,0.59,0.067,-0.0009,2.5E-04,-0.0008,4.0E-04,-0.0009,5.2E-04,1.4E-02,3.9E-02,4.3E-02,,,yes
cg02947125,14,104376026,,,0.81,0.038,-0.0008,2.5E-04,-0.0007,5.8E-04,-0.0005,4.1E-02,1.4E-02,4.9E-02,4.0E-01,,,yes
cg13178798,1,17198526,,,0.60,0.043,-0.0006,2.5E-04,-0.0006,9.3E-05,-0.0005,5.8E-03,1.4E-02,1.6E-02,1.6E-01,,,yes
cg03605542,5,59929339,DEPDC1B,Body,0.74,0.056,-0.0008,2.5E-04,-0.0008,2.3E-04,-0.0006,9.9E-03,1.4E-02,2.7E-02,2.1E-01,,,yes
cg20022869,20,57267493,NPEPL1,TSS1500,0.75,0.049,-0.0009,2.5E-04,-0.0006,1.4E-02,-0.0004,1.3E-01,1.4E-02,2.6E-01,5.9E-01,,,yes
cg09018739,16,57180107,CPNE2,Body,0.69,0.076,-0.0008,2.5E-04,-0.0007,6.9E-04,-0.0003,1.1E-01,1.4E-02,5.5E-02,5.6E-01,no,,yes
cg12566149,19,11525678,RGL3,Body,0.50,0.034,-0.0004,2.5E-04,-0.0003,1.5E-03,-0.0003,6.0E-03,1.4E-02,8.7E-02,1.6E-01,,,yes
cg21116087,18,74832171,MBP,5'UTR,0.91,0.033,-0.0011,2.5E-04,-0.0007,9.4E-03,-0.0007,2.3E-02,1.4E-02,2.2E-01,3.1E-01,,,yes
cg05752393,18,43418829,SIGLEC15,Body,0.35,0.084,-0.0014,2.5E-04,-0.0009,5.7E-03,-0.0014,2.7E-04,1.4E-02,1.7E-01,2.9E-02,,,yes
cg19054685,6,30894071,VARS2,3'UTR,0.86,0.031,-0.0009,2.5E-04,-0.0006,5.8E-03,-0.0005,3.2E-02,1.4E-02,1.7E-01,3.5E-01,,,yes
cg14792480,16,66954257,CDH16,TSS1500,0.45,0.064,-0.0009,2.5E-04,-0.0003,1.6E-01,-0.0005,4.0E-02,1.4E-02,6.3E-01,3.9E-01,,,yes
cg08801479,6,32165200,NOTCH4,Body,0.85,0.061,-0.0016,2.5E-04,-0.0012,4.3E-03,-0.0012,8.5E-03,1.4E-02,1.5E-01,2.0E-01,,,yes
cg06559839,10,73133003,,,0.50,0.069,-0.0007,2.5E-04,-0.0004,2.7E-02,-0.0004,4.4E-02,1.4E-02,3.4E-01,4.0E-01,,,yes
cg27574223,12,26280257,,,0.61,0.076,-0.0011,2.5E-04,-0.0007,8.9E-03,-0.0011,7.2E-04,1.4E-02,2.1E-01,5.2E-02,,,yes
cg03846076,5,172743837,STC2,3'UTR,0.55,0.093,0.0009,2.5E-04,0.0008,1.6E-04,0.0004,1.0E-01,1.4E-02,2.2E-02,5.5E-01,no,,yes
cg24173182,17,1961286,HIC1,Body,0.64,0.067,-0.0008,2.5E-04,-0.0006,2.5E-03,-0.0006,4.5E-03,1.4E-02,1.1E-01,1.4E-01,,,yes
cg22770911,10,8101307,GATA3,Body,0.55,0.048,-0.0007,2.5E-04,-0.0004,9.4E-03,-0.0005,7.7E-03,1.4E-02,2.2E-01,1.9E-01,,,yes
cg18676273,7,41732833,INHBA,Body,0.78,0.047,-0.0010,2.5E-04,-0.0010,5.5E-05,-0.0012,1.3E-05,1.4E-02,1.1E-02,3.9E-03,,,yes
cg07299586,10,76792579,MYST4,3'UTR,0.86,0.045,-0.0012,2.5E-04,-0.0008,6.4E-03,-0.0009,1.1E-02,1.4E-02,1.8E-01,2.2E-01,,,yes
cg18700133,17,8013202,ALOXE3,Body,0.83,0.086,-0.0022,2.5E-04,-0.0017,1.9E-03,-0.0013,2.8E-02,1.4E-02,9.7E-02,3.4E-01,,,yes
cg08348427,17,79635073,C17orf90,TSS1500,0.55,0.089,-0.0013,2.5E-04,-0.0011,7.7E-04,-0.0014,1.6E-04,1.4E-02,5.8E-02,2.0E-02,,,yes
cg09487449,19,47983663,KPTN,Body,0.55,0.062,-0.0007,2.5E-04,-0.0005,1.0E-02,-0.0005,1.2E-02,1.4E-02,2.3E-01,2.3E-01,,,yes
cg05914034,7,5528179,FBXL18,Body,0.58,0.086,-0.0011,2.5E-04,-0.0010,3.5E-04,-0.0007,1.5E-02,1.4E-02,3.6E-02,2.6E-01,,,yes
cg27042065,12,6959657,CDCA3,Body,0.87,0.033,-0.0009,2.5E-04,-0.0006,4.0E-03,-0.0008,4.9E-04,1.4E-02,1.5E-01,4.1E-02,,,yes
cg11535839,2,28582676,,,0.55,0.069,-0.0009,2.5E-04,-0.0006,4.4E-03,-0.0004,1.2E-01,1.4E-02,1.5E-01,5.8E-01,,,yes
cg16592121,10,133794558,BNIP3,Body,0.40,0.076,-0.0008,2.5E-04,-0.0005,7.3E-03,-0.0006,5.1E-03,1.4E-02,1.9E-01,1.5E-01,,,yes
cg05280131,2,132248998,FAM128A,Body,0.29,0.038,-0.0006,2.5E-04,-0.0004,1.7E-02,-0.0004,3.3E-02,1.4E-02,2.8E-01,3.6E-01,,,yes
cg09238000,8,142238452,SLC45A4,5'UTR,0.85,0.047,-0.0010,2.5E-04,-0.0010,1.6E-04,-0.0011,2.7E-04,1.4E-02,2.2E-02,2.8E-02,,,yes
cg21044433,2,101872163,C2orf29,Body,0.80,0.043,-0.0007,2.5E-04,-0.0007,4.1E-04,-0.0005,2.5E-02,1.4E-02,4.0E-02,3.2E-01,,,yes
cg03593833,1,149224641,,,0.11,0.031,-0.0011,2.5E-04,-0.0004,1.7E-01,-0.0008,1.2E-02,1.4E-02,6.4E-01,2.3E-01,,,yes
cg00809267,18,55816433,NEDD4L,TSS200,0.59,0.072,-0.0008,2.5E-04,-0.0005,5.0E-03,-0.0006,3.3E-03,1.4E-02,1.6E-01,1.2E-01,,,yes
cg09981361,8,109206108,,,0.58,0.067,-0.0008,2.5E-04,-0.0006,2.0E-03,-0.0006,1.4E-02,1.4E-02,9.9E-02,2.5E-01,,,yes
cg25102206,14,75897342,JDP2,5'UTR,0.89,0.025,-0.0009,2.5E-04,-0.0008,4.4E-04,-0.0008,1.6E-03,1.4E-02,4.2E-02,8.3E-02,,,yes
cg01447702,2,65282029,CEP68,TSS1500,0.87,0.037,-0.0010,2.5E-04,-0.0007,5.5E-03,-0.0006,3.9E-02,1.4E-02,1.7E-01,3.9E-01,,,yes
cg18390345,10,98939912,SLIT1,Body,0.60,0.067,-0.0010,2.5E-04,-0.0003,1.9E-01,-0.0006,4.5E-02,1.4E-02,6.6E-01,4.1E-01,,,yes
cg26386402,9,115512612,SNX30,TSS1500,0.17,0.044,-0.0012,2.5E-04,-0.0010,7.1E-04,-0.0011,1.2E-03,1.4E-02,5.6E-02,6.8E-02,,,yes
cg24482544,1,160371455,VANGL2,5'UTR,0.77,0.043,-0.0006,2.5E-04,-0.0004,6.9E-03,-0.0004,6.0E-03,1.4E-02,1.9E-01,1.6E-01,,,yes
cg15225325,5,176921820,PDLIM7,Body,0.46,0.121,-0.0010,2.5E-04,-0.0005,7.1E-02,-0.0005,6.5E-02,1.4E-02,4.9E-01,4.7E-01,,,yes
cg01978246,8,145749776,LRRC24,Body,0.90,0.030,-0.0011,2.5E-04,-0.0008,1.7E-03,-0.0008,1.1E-02,1.4E-02,9.2E-02,2.2E-01,,,yes
cg20449382,13,68218088,,,0.70,0.067,-0.0008,2.5E-04,-0.0006,5.3E-03,-0.0007,3.5E-03,1.4E-02,1.7E-01,1.2E-01,,,yes
cg19419519,19,39303698,LGALS4,5'UTR,0.91,0.026,-0.0011,2.5E-04,-0.0010,1.1E-04,-0.0008,4.7E-03,1.4E-02,1.8E-02,1.5E-01,,,yes
cg14105680,2,113676235,IL1F7,Body,0.82,0.048,-0.0010,2.5E-04,-0.0008,2.8E-03,-0.0006,2.5E-02,1.4E-02,1.2E-01,3.2E-01,,,yes
cg09916599,15,74234325,LOXL1,Body,0.71,0.041,-0.0006,2.5E-04,-0.0004,7.3E-03,-0.0004,8.4E-03,1.4E-02,1.9E-01,2.0E-01,,,yes
cg06679538,15,101458783,LRRK1,TSS1500,0.11,0.038,-0.0012,2.5E-04,-0.0009,2.4E-03,-0.0010,3.4E-03,1.4E-02,1.1E-01,1.2E-01,,,yes
cg24982697,13,113521532,ATP11A,Body,0.86,0.049,-0.0012,2.5E-04,-0.0007,2.6E-02,-0.0004,2.3E-01,1.4E-02,3.4E-01,7.1E-01,,,yes
cg19433118,20,43977423,SDC4,TSS1500,0.54,0.048,-0.0006,2.5E-04,-0.0005,1.0E-03,-0.0007,1.2E-04,1.4E-02,6.8E-02,1.7E-02,,,yes
cg22721827,16,2520958,NTN3,TSS1500,0.59,0.070,-0.0010,2.5E-04,-0.0009,7.2E-04,-0.0010,7.2E-04,1.4E-02,5.6E-02,5.2E-02,,,yes
cg13735282,4,11430724,HS3ST1,TSS200,0.09,0.053,-0.0018,2.5E-04,-0.0014,1.3E-03,-0.0021,1.8E-05,1.4E-02,8.0E-02,5.0E-03,,,yes
cg25152404,1,225999183,EPHX1,5'UTR,0.81,0.046,-0.0010,2.5E-04,-0.0007,2.4E-03,-0.0005,6.2E-02,1.4E-02,1.1E-01,4.6E-01,,,yes
cg27483571,12,44822398,,,0.68,0.084,-0.0010,2.5E-04,-0.0006,2.6E-02,-0.0010,5.6E-04,1.4E-02,3.4E-01,4.5E-02,,,yes
cg09684846,16,10912718,FAM18A,TSS200,0.81,0.099,-0.0023,2.5E-04,-0.0015,7.9E-03,-0.0027,2.6E-05,1.4E-02,2.0E-01,6.3E-03,,,yes
cg01802532,4,56475905,NMU,Body,0.38,0.074,-0.0009,2.5E-04,-0.0005,3.9E-02,-0.0009,4.7E-04,1.4E-02,3.9E-01,4.0E-02,,,yes
cg07687398,3,53198666,PRKCD,5'UTR,0.82,0.061,-0.0011,2.5E-04,-0.0009,1.1E-03,-0.0013,4.6E-05,1.4E-02,7.2E-02,9.3E-03,,,yes
cg04242898,22,43043131,CYB5R3,TSS200,0.76,0.040,-0.0007,2.5E-04,-0.0005,4.5E-03,-0.0003,8.0E-02,1.4E-02,1.5E-01,5.0E-01,,,yes
cg22853797,8,19172126,SH2D4A,5'UTR,0.11,0.028,-0.0009,2.5E-04,-0.0008,1.4E-03,-0.0006,2.9E-02,1.4E-02,8.2E-02,3.4E-01,,,yes
cg17743250,10,94820927,CYP26C1,TSS200,0.74,0.079,-0.0014,2.5E-04,-0.0008,2.1E-02,-0.0010,2.0E-02,1.4E-02,3.1E-01,2.9E-01,,,yes
cg23583454,6,30582333,PPP1R10,5'UTR,0.37,0.082,-0.0013,2.5E-04,-0.0005,1.2E-01,-0.0009,1.2E-02,1.4E-02,5.8E-01,2.3E-01,,,yes
cg19542238,7,83278138,SEMA3E,1stExon,0.11,0.041,-0.0012,2.5E-04,-0.0006,4.2E-02,-0.0008,1.9E-02,1.4E-02,4.0E-01,2.9E-01,,,yes
cg04628174,2,178770927,PDE11A,Body,0.46,0.122,-0.0018,2.5E-04,-0.0014,2.0E-03,-0.0011,2.7E-02,1.4E-02,1.0E-01,3.3E-01,,,yes
cg20275889,1,54204364,,,0.03,0.017,0.0021,2.5E-04,0.0012,2.4E-02,0.0015,1.2E-02,1.4E-02,3.3E-01,2.3E-01,,,yes
cg07379703,5,78279424,ARSB,Body,0.59,0.111,-0.0009,2.5E-04,-0.0004,4.3E-02,-0.0005,3.4E-02,1.4E-02,4.1E-01,3.7E-01,,,yes
cg18244362,8,21669615,,,0.75,0.046,-0.0008,2.5E-04,-0.0008,1.0E-04,-0.0009,1.1E-04,1.4E-02,1.6E-02,1.6E-02,,,yes
cg25273602,1,29062859,YTHDF2,TSS1500,0.43,0.127,-0.0017,2.5E-04,-0.0011,7.8E-03,-0.0012,1.5E-02,1.4E-02,2.0E-01,2.6E-01,,,yes
cg12636835,22,26776311,SEZ6L,3'UTR,0.69,0.104,-0.0009,2.5E-04,-0.0007,1.8E-03,-0.0009,3.2E-04,1.4E-02,9.5E-02,3.1E-02,,,yes
cg09507934,7,102072549,ORAI2,TSS1500,0.34,0.061,-0.0008,2.5E-04,-0.0006,6.3E-03,-0.0009,1.0E-04,1.4E-02,1.8E-01,1.6E-02,,,yes
cg08160826,3,137491164,,,0.48,0.101,-0.0016,2.5E-04,-0.0008,6.0E-02,-0.0007,1.1E-01,1.4E-02,4.6E-01,5.7E-01,,,yes
cg16968985,17,27313254,SEZ6,Body,0.45,0.063,-0.0008,2.5E-04,-0.0005,1.7E-02,-0.0007,1.3E-03,1.4E-02,2.8E-01,7.2E-02,,,yes
cg18628371,14,24641189,REC8,TSS200,0.17,0.058,-0.0013,2.5E-04,-0.0008,1.6E-02,-0.0007,3.9E-02,1.4E-02,2.7E-01,3.9E-01,,,yes
cg08175413,5,96294187,LNPEP,Body,0.31,0.106,-0.0012,2.5E-04,-0.0004,2.3E-01,-0.0008,1.9E-02,1.4E-02,7.0E-01,2.8E-01,,,yes
cg05361530,16,853349,,,0.79,0.046,-0.0009,2.5E-04,-0.0007,2.4E-03,-0.0005,4.4E-02,1.4E-02,1.1E-01,4.1E-01,,,yes
cg02552255,2,103104330,SLC9A4,Body,0.55,0.076,-0.0007,2.5E-04,-0.0002,3.5E-01,-0.0004,2.7E-02,1.4E-02,7.8E-01,3.3E-01,,,yes
cg12684175,3,9807678,OGG1,Body,0.81,0.045,-0.0008,2.5E-04,-0.0007,8.3E-04,-0.0007,2.2E-03,1.4E-02,6.1E-02,9.8E-02,,,yes
cg00843623,19,12146163,ZNF433,Body,0.19,0.071,-0.0013,2.5E-04,-0.0007,3.8E-02,-0.0011,2.8E-03,1.4E-02,3.9E-01,1.1E-01,,,yes
cg07123548,19,40896163,HIPK4,TSS200,0.72,0.041,-0.0005,2.5E-04,-0.0004,7.3E-04,-0.0006,4.8E-05,1.4E-02,5.6E-02,9.5E-03,,,yes
cg18982073,17,42275458,ATXN7L3,1stExon,0.58,0.047,-0.0007,2.5E-04,-0.0007,1.7E-05,-0.0006,1.3E-03,1.4E-02,5.0E-03,7.3E-02,,,yes
cg15428496,3,37940044,CTDSPL,Body,0.94,0.023,-0.0018,2.5E-04,-0.0013,4.5E-03,-0.0019,2.4E-04,1.4E-02,1.5E-01,2.6E-02,,,yes
cg26682922,1,50880150,,,0.62,0.050,-0.0007,2.5E-04,-0.0006,8.7E-04,-0.0007,5.7E-04,1.4E-02,6.2E-02,4.5E-02,,,yes
cg23115387,1,47882936,FOXE3,1stExon,0.48,0.047,-0.0006,2.5E-04,-0.0004,1.8E-02,-0.0007,7.3E-05,1.4E-02,2.9E-01,1.2E-02,,,yes
cg24711224,5,176561865,NSD1,5'UTR,0.09,0.026,-0.0010,2.5E-04,-0.0007,5.6E-03,-0.0008,2.9E-03,1.4E-02,1.7E-01,1.1E-01,no,,yes
cg10879486,14,39619462,TRAPPC6B,3'UTR,0.96,0.034,-0.0035,2.5E-04,-0.0029,1.2E-03,-0.0028,5.1E-03,1.4E-02,7.4E-02,1.5E-01,,,yes
cg18915456,15,74699653,,,0.77,0.050,-0.0009,2.5E-04,-0.0006,1.0E-02,-0.0007,8.7E-03,1.4E-02,2.3E-01,2.0E-01,,,yes
cg00238349,3,52187791,WDR51A,Body,0.35,0.041,-0.0006,2.5E-04,-0.0003,1.1E-01,-0.0003,5.3E-02,1.4E-02,5.7E-01,4.3E-01,,,yes
cg18893596,13,91823796,,,0.44,0.118,-0.0010,2.5E-04,-0.0004,1.1E-01,-0.0008,6.1E-03,1.4E-02,5.6E-01,1.7E-01,,,yes
cg05220630,20,2451794,SNRPB,TSS1500,0.67,0.063,-0.0010,2.5E-04,-0.0005,5.8E-02,-0.0006,3.8E-02,1.4E-02,4.5E-01,3.8E-01,,,yes
cg20025963,17,79894795,PYCR1,1stExon,0.26,0.045,-0.0008,2.5E-04,-0.0006,1.4E-03,-0.0007,2.7E-03,1.4E-02,8.1E-02,1.1E-01,,,yes
cg25288433,11,18158850,MRGPRX3,Body,0.68,0.034,-0.0005,2.5E-04,-0.0003,2.5E-02,-0.0005,1.9E-03,1.4E-02,3.3E-01,9.1E-02,,,yes
cg22529760,4,190283198,,,0.78,0.052,-0.0010,2.5E-04,-0.0008,3.3E-03,-0.0009,1.1E-03,1.4E-02,1.3E-01,6.6E-02,,,yes
cg26456183,19,50862121,NAPSA,Body,0.33,0.096,-0.0017,2.5E-04,-0.0010,1.6E-02,-0.0012,1.1E-02,1.4E-02,2.7E-01,2.2E-01,,,yes
cg19420930,4,7667618,SORCS2,Body,0.64,0.056,-0.0007,2.5E-04,-0.0004,2.3E-02,-0.0005,8.9E-03,1.4E-02,3.2E-01,2.0E-01,,,yes
cg04024799,1,248903300,LOC646627,TSS200,0.46,0.096,-0.0006,2.5E-04,-0.0003,4.1E-02,-0.0003,8.9E-02,1.4E-02,4.0E-01,5.2E-01,,,yes
cg15672768,5,140741220,PCDHGA4,Body,0.42,0.082,-0.0009,2.5E-04,-0.0007,5.8E-03,-0.0006,2.9E-02,1.4E-02,1.7E-01,3.4E-01,,,yes
cg04460816,19,19221572,SLC25A42,Body,0.43,0.053,-0.0007,2.5E-04,-0.0007,1.2E-04,-0.0007,5.0E-04,1.4E-02,1.9E-02,4.2E-02,,,yes
cg06685437,17,17669973,RAI1,5'UTR,0.85,0.042,-0.0009,2.5E-04,-0.0008,3.9E-04,-0.0008,2.0E-03,1.4E-02,3.9E-02,9.4E-02,,,yes
cg05119988,4,166251189,SC4MOL,5'UTR,0.61,0.081,-0.0009,2.5E-04,-0.0002,3.3E-01,-0.0008,4.2E-03,1.4E-02,7.7E-01,1.4E-01,,,yes
cg06750524,19,45409955,APOE,Body,0.35,0.066,-0.0010,2.5E-04,-0.0006,1.9E-02,-0.0009,3.1E-03,1.4E-02,3.0E-01,1.2E-01,,,yes
cg06606773,7,63387053,,,0.68,0.066,-0.0011,2.5E-04,-0.0009,6.8E-04,-0.0008,9.0E-03,1.4E-02,5.4E-02,2.0E-01,,,yes
