ID,Zscore,P.value,Direction,geneSymbol,CHR,MAPINFO,
cg07252792,6.95,3.71E-12,++,CCDC116,chr22,21987048,
cg14453420,6.94,3.84E-12,++,ZBTB17;ZBTB17;ZBTB17;ZBTB17,chr1,16269595,
cg09525260,-6.94,3.90E-12,--,ADAMTSL3;ADAMTSL3,chr15,84523205,
cg21881184,6.94,3.92E-12,++,BTBD2,chr19,1993022,
cg06080300,6.94,3.93E-12,++,MIB2;MIB2;MIB2;MIB2;MIB2;MIB2,chr1,1563096,
cg15535313,6.94,3.95E-12,++,PMFBP1;PMFBP1;PMFBP1,chr16,72206322,
cg20560862,6.93,4.09E-12,++,NAP1L4,chr11,2997051,
cg15437741,6.93,4.20E-12,++,SLC16A3;SLC16A3;SLC16A3,chr17,80194576,
cg24509815,6.93,4.27E-12,++,IL2RB,chr22,37523151,
cg19324606,6.92,4.50E-12,++,C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62;C17orf62,chr17,80403732,
cg16968178,-6.92,4.56E-12,--,,chr1,181135598,
cg25727825,6.92,4.69E-12,++,,chr3,195542580,
cg06492558,6.91,4.72E-12,++,,chr16,80625384,
cg20869070,-6.91,4.73E-12,--,MCU;MCU;MCU;MCU,chr10,74489461,
cg03393889,6.91,4.77E-12,++,NTHL1,chr16,2094700,
cg23299618,-6.91,4.78E-12,--,,chr11,45102239,
cg19638176,6.91,4.96E-12,++,MORG1;MORG1;MORG1,chr19,12782961,
cg21361083,-6.91,4.97E-12,--,SERBP1;SERBP1;SERBP1;SERBP1,chr1,67892302,
cg04852339,-6.91,4.99E-12,--,TANC1;TANC1,chr2,159841571,
cg05788043,-6.91,5.03E-12,--,SPPL3,chr12,121303077,
cg25983023,6.90,5.06E-12,++,NLRP12;NLRP12;NLRP12,chr19,54312179,
cg22432956,6.90,5.10E-12,++,,chr2,43364319,
cg00716257,-6.90,5.14E-12,--,JDP2;JDP2;JDP2;JDP2,chr14,75897417,
cg08349425,-6.90,5.27E-12,--,DIS3L2;DIS3L2;DIS3L2;DIS3L2,chr2,233157832,
cg10551409,6.90,5.33E-12,++,ZSCAN2;ZSCAN2;ZSCAN2,chr15,85146936,
cg10474597,-6.90,5.39E-12,--,SERPINE3,chr13,51917676,
cg19321776,6.89,5.44E-12,++,NTHL1,chr16,2093980,
cg19810953,-6.89,5.51E-12,--,RPL12;SNORA65,chr9,130211696,
cg26479059,6.89,5.53E-12,++,GNA15,chr19,3163454,
cg14576521,-6.89,5.64E-12,--,LOC101928227,chr15,38342180,
cg25486660,-6.89,5.65E-12,--,RAD51B,chr14,68985165,
cg13683827,-6.89,5.73E-12,--,FAM113B,chr12,47617751,
cg25914821,-6.89,5.76E-12,--,,chr8,128899514,
cg21818059,6.88,5.83E-12,++,RNF34;RNF34;RNF34,chr12,121839024,
cg06543730,6.88,5.90E-12,++,MBP;MBP;MBP;MBP;MBP,chr18,74700055,
cg21261158,6.88,5.91E-12,++,RASA3,chr13,114875412,
cg10505257,6.88,5.92E-12,++,MGRN1;MGRN1;MGRN1;MGRN1,chr16,4731639,
cg09617526,6.88,5.97E-12,++,,chr16,802447,
cg26091247,6.88,5.99E-12,++,,chr11,118784336,
cg03635774,6.88,6.07E-12,++,WDR34;MIR1268A,chr9,131400182,
cg25128949,6.88,6.10E-12,++,HPCAL1;HPCAL1;HPCAL1,chr2,10470142,
cg15418935,6.88,6.19E-12,++,LOC101928694;LIPC,chr15,58751410,
cg00124684,-6.87,6.31E-12,--,IDH2;IDH2;IDH2,chr15,90643966,
cg21147820,-6.87,6.39E-12,--,,chr8,128681146,
cg10410419,6.87,6.56E-12,++,EHD1;EHD1;EHD1,chr11,64622681,
cg14692131,6.87,6.62E-12,++,AKR1A1;AKR1A1;AKR1A1;AKR1A1,chr1,46035685,
cg15683080,-6.86,6.67E-12,--,KCNA2,chr1,111163541,
cg00856626,-6.86,6.86E-12,--,AMDHD2;AMDHD2,chr16,2576247,
cg25523776,-6.86,6.91E-12,--,SIK3;SIK3;SIK3,chr11,116742352,
cg24679007,-6.86,7.00E-12,--,RGS13;RGS13,chr1,192604413,
cg18212148,6.86,7.01E-12,++,SMTN;SMTN;SMTN;SMTN;SMTN,chr22,31485303,
cg03480935,-6.86,7.02E-12,--,SMAD3;SMAD3,chr15,67417860,
cg06579577,6.86,7.03E-12,++,ADAMTS13;ADAMTS13;ADAMTS13;ADAMTS13,chr9,136286875,
cg24695409,-6.86,7.07E-12,--,,chr2,122951455,
cg16164721,-6.86,7.13E-12,--,,chr18,60725784,
cg06674960,-6.85,7.17E-12,--,,chr2,119683865,
cg08415156,6.85,7.21E-12,++,CBFA2T3;CBFA2T3,chr16,88972776,
cg06885459,6.85,7.24E-12,++,MCF2L;MCF2L,chr13,113689728,
cg07626482,-6.85,7.33E-12,--,SLC1A5;SLC1A5;SLC1A5,chr19,47289503,
cg24071226,-6.85,7.40E-12,--,EPB41;EPB41;EPB41;EPB41;EPB41;EPB41,chr1,29300664,
cg18419175,6.85,7.45E-12,++,USP42,chr7,6199980,
cg19881433,-6.85,7.54E-12,--,OSBPL3;OSBPL3;OSBPL3;OSBPL3;OSBPL3;OSBPL3,chr7,24922755,
cg21161526,-6.85,7.62E-12,--,,chr9,123691672,
cg26695233,-6.84,7.70E-12,--,LINC01126,chr2,43455862,
cg21777415,-6.84,7.78E-12,--,SETD5;SETD5,chr3,9446652,
cg11568290,-6.84,7.88E-12,--,,chr5,17290681,
cg24619607,-6.84,7.90E-12,--,DAPK1;DAPK1;DAPK1;DAPK1,chr9,90209272,
cg17343451,6.84,8.03E-12,++,AP2M1;AP2M1,chr3,183899704,
cg24229052,6.84,8.04E-12,++,,chr14,95862525,
cg16505233,-6.84,8.07E-12,--,EDEM1,chr3,5239311,
cg20902443,-6.84,8.13E-12,--,SEPHS1;SEPHS1;SEPHS1,chr10,13387198,
cg14615927,6.83,8.37E-12,++,HDAC4,chr2,240259213,
cg13980410,-6.83,8.43E-12,--,,chr5,146870693,
cg23706721,6.83,8.44E-12,++,ACTN4,chr19,39218353,
cg09249793,-6.83,8.66E-12,--,RABGGTB;RABGGTB,chr1,76257000,
cg18467978,6.82,8.83E-12,++,,chr19,47134906,
cg12169461,-6.82,8.95E-12,--,,chr20,6975301,
cg24267300,-6.82,9.33E-12,--,MATR3;MATR3;MATR3;MATR3;MATR3;MATR3,chr5,138634507,
cg09360631,-6.81,9.58E-12,--,VPS13B;VPS13B,chr8,100624498,
cg06104764,-6.81,9.64E-12,--,SCARB2;SCARB2,chr4,77122220,
cg19434000,-6.80,1.02E-11,--,,chr1,11415810,
cg18633141,-6.80,1.02E-11,--,SNCAIP;SNCAIP;SNCAIP;SNCAIP;SNCAIP;SNCAIP,chr5,121707349,
cg01230359,6.80,1.04E-11,++,METTL22;METTL22,chr16,8728911,
cg01517423,-6.80,1.04E-11,--,SUCNR1;AADACL2-AS1;AADACL2-AS1,chr3,151595276,
cg06499487,-6.80,1.04E-11,--,NCOA2,chr8,71280455,
cg17749033,6.80,1.05E-11,++,,chr17,80197412,
cg23510764,-6.80,1.05E-11,--,,chr5,166419955,
cg00032703,-6.80,1.07E-11,--,,chr11,102329514,
cg16797081,-6.80,1.07E-11,--,MALL,chr2,110864447,
cg08297686,-6.80,1.08E-11,--,RAD51L1;RAD51L1;RAD51L1,chr14,68943486,
cg08373547,-6.80,1.08E-11,--,PTGER2,chr14,52794541,
cg13753585,-6.79,1.09E-11,--,HNRNPA1P10;HNRNPA1;HNRNPA1,chr12,54677175,
cg07227549,-6.79,1.09E-11,--,,chr9,81235867,
cg13782491,6.79,1.15E-11,++,,chr22,45998305,
cg17301216,6.79,1.15E-11,++,LOC254559,chr15,89920348,
cg07463740,-6.79,1.16E-11,--,,chr5,172737556,
cg12912865,6.79,1.16E-11,++,TBC1D9B;TBC1D9B,chr5,179299360,
cg17325206,6.78,1.17E-11,++,,chr15,91396109,
cg26897830,6.78,1.17E-11,++,C10orf71,chr10,50518408,
cg16371518,6.78,1.19E-11,++,AMBRA1,chr11,46564493,
cg08239588,6.78,1.20E-11,++,TMEM72;TMEM72-AS1,chr10,45429453,
cg05856099,-6.78,1.23E-11,--,,chr9,93723550,
cg25215890,6.78,1.24E-11,++,CD48,chr1,160651452,
cg06988896,6.77,1.25E-11,++,,chr15,78426368,
cg14517475,6.77,1.28E-11,++,TSC22D4;TSC22D4;TSC22D4;TSC22D4,chr7,100070912,
cg24708518,-6.77,1.31E-11,--,,chr5,34500794,
cg02203067,6.77,1.32E-11,++,SLC7A5,chr16,87866800,
cg12490835,-6.77,1.33E-11,--,,chr10,22623821,
cg03847470,-6.76,1.40E-11,--,FLI1;FLI1,chr11,128556580,
cg14165909,6.76,1.40E-11,++,LOXHD1,chr18,44203699,
cg02782753,6.75,1.43E-11,++,GET4,chr7,923058,
cg06799321,-6.75,1.51E-11,--,CES3;CES3,chr16,66995143,
cg21210021,-6.75,1.52E-11,--,,chr3,151978579,
cg21932513,6.74,1.55E-11,++,RCC2;RCC2,chr1,17751974,
cg07317306,6.74,1.55E-11,++,,chr1,110314824,
cg00811614,6.74,1.56E-11,++,SNX1;SNX1;SNX1,chr15,64426065,
cg02314339,-6.74,1.56E-11,--,,chr10,91020653,
cg05603985,-6.74,1.57E-11,--,SKI,chr1,2161049,
cg19351166,-6.74,1.57E-11,--,PIKFYVE;PIKFYVE,chr2,209133632,
cg12362977,6.74,1.60E-11,++,,chr1,23928846,
cg03150234,-6.74,1.63E-11,--,ITPKB-IT1;ITPKB,chr1,226848943,
cg20698200,-6.73,1.69E-11,--,ICOS,chr2,204805097,
cg13142359,-6.73,1.69E-11,--,,chr9,110310928,
cg08937734,6.73,1.70E-11,++,UBR4,chr1,19422904,
cg14138801,6.73,1.71E-11,++,PTK2B;PTK2B;PTK2B;PTK2B,chr8,27267103,
cg17464820,-6.73,1.72E-11,--,SIK3,chr11,116838417,
cg16340422,6.73,1.73E-11,++,PLD6,chr17,17110120,
cg26903766,6.72,1.77E-11,++,DOT1L,chr19,2231868,
cg27211071,6.72,1.82E-11,++,KANK1;KANK1;KANK1,chr9,591420,
cg23736997,-6.72,1.86E-11,--,Mar-04,chr2,217163703,
cg09227882,-6.72,1.87E-11,--,ARHGDIB,chr12,15104048,
cg09259843,6.72,1.87E-11,++,,chr2,25452362,
cg13051700,-6.71,1.90E-11,--,MAGI2,chr7,79050007,
cg16462073,6.71,1.93E-11,++,SPNS1;LAT;LAT;LAT;SPNS1;SPNS1;LAT;SPNS1;SPNS1,chr16,28995843,
cg05570654,6.71,1.95E-11,++,HDAC4,chr2,240259075,
cg22500518,6.71,1.95E-11,++,TMEM184A,chr7,1585359,
cg10578851,6.71,1.96E-11,++,,chr2,10437673,
cg11613310,6.71,1.97E-11,++,MICALL1,chr22,38326590,
cg18396403,6.71,1.97E-11,++,TMEM184B,chr22,38615368,
cg17415380,-6.71,1.98E-11,--,FOXP1;FOXP1;FOXP1;FOXP1;FOXP1,chr3,71447574,
cg00594278,-6.71,2.00E-11,--,GRAP2,chr22,40296407,
cg25330192,-6.71,2.00E-11,--,,chr5,34494278,
cg14384960,-6.70,2.07E-11,--,ZNF827,chr4,146807291,
cg09194657,6.70,2.08E-11,++,TUBGCP2;TUBGCP2;TUBGCP2;TUBGCP2,chr10,135108050,
cg06493829,-6.70,2.09E-11,--,PLCG1;PLCG1,chr20,39766765,
cg01334597,-6.70,2.12E-11,--,LOC101928306,chr4,4923774,
cg12192282,-6.70,2.14E-11,--,,chr2,143632190,
cg19379721,6.70,2.15E-11,++,LPAR2,chr19,19737143,
cg24241662,-6.70,2.16E-11,--,RXRA;RXRA;RXRA,chr9,137297892,
cg25633454,-6.69,2.21E-11,--,,chr17,8667047,
cg18431951,6.69,2.22E-11,++,PUF60;PUF60;PUF60,chr8,144906507,
cg11624345,6.69,2.22E-11,++,KCNN4,chr19,44278551,
cg13640390,-6.69,2.22E-11,--,SLC1A3;SLC1A3;SLC1A3;SLC1A3,chr5,36614696,
cg22193657,6.69,2.23E-11,++,XXYLT1;XXYLT1,chr3,194948010,
cg07840258,6.69,2.24E-11,++,FAM129B;FAM129B,chr9,130269866,
cg01591190,-6.69,2.24E-11,--,,chr12,25500964,
cg26066180,6.69,2.25E-11,++,COL20A1,chr20,61923786,
cg00851852,-6.69,2.25E-11,--,PRTFDC1;PRTFDC1,chr10,25242304,
cg22675767,6.69,2.30E-11,++,ACAP3,chr1,1234367,
cg06230805,6.69,2.31E-11,++,AGPAT3;AGPAT3,chr21,45391366,
cg05670193,6.68,2.33E-11,++,BCAM,chr19,45324246,
cg14220251,6.68,2.42E-11,++,PQLC2;PQLC2;PQLC2,chr1,19653075,
cg09054960,6.68,2.43E-11,++,PGLYRP2,chr19,15590328,
cg24510179,6.68,2.44E-11,++,CCDC97,chr19,41827894,
cg14458725,-6.68,2.45E-11,--,,chr2,143621423,
cg21941344,6.68,2.47E-11,++,HSPA14;HSPA14;HSPA14;CDNF,chr10,14879285,
cg08366476,6.68,2.48E-11,++,CA12;CA12;CA12,chr15,63664748,
cg14390322,-6.67,2.50E-11,--,,chr14,34600339,
cg06044108,6.67,2.52E-11,++,PLOD3,chr7,100850092,
cg02874537,-6.67,2.57E-11,--,HSDL2;HSDL2;HSDL2,chr9,115184285,
cg24123792,-6.67,2.60E-11,--,MAML2,chr11,95969031,
cg17090968,-6.67,2.62E-11,--,SLC38A1;SLC38A1,chr12,46663694,
cg19586143,6.67,2.64E-11,++,FHOD3,chr18,34325134,
cg05612693,-6.66,2.66E-11,--,RUNX1,chr21,36310945,
cg20977312,-6.66,2.67E-11,--,STC2,chr5,172748917,
cg01305270,6.66,2.69E-11,++,IKBKB;IKBKB;IKBKB;IKBKB;IKBKB;IKBKB,chr8,42174685,
cg14465376,-6.66,2.69E-11,--,GBE1,chr3,81766440,
cg16289376,-6.66,2.71E-11,--,,chr2,127989183,
cg09935388,-6.66,2.71E-11,--,GFI1;GFI1;GFI1,chr1,92947588,
cg15965233,-6.66,2.73E-11,--,COBLL1;COBLL1;COBLL1;COBLL1,chr2,165651558,
cg08616943,-6.66,2.78E-11,--,,chr7,130552600,
cg19202384,-6.65,2.87E-11,--,PYCR1;PYCR1,chr17,79894511,
cg02688432,-6.65,2.90E-11,--,CDC7;CDC7;CDC7,chr1,91970745,
cg18101225,6.65,2.92E-11,++,FGFBP2,chr4,15964913,
cg18410271,6.65,2.92E-11,++,ARHGAP27;ARHGAP27,chr17,43472435,
cg05579187,6.65,2.94E-11,++,,chr9,20015670,
cg02111474,-6.65,2.95E-11,--,PPFIA1;PPFIA1;PPFIA1,chr11,70173985,
cg07945335,6.65,2.98E-11,++,CD300LG;CD300LG;CD300LG;CD300LG,chr17,41924478,
cg26556684,6.65,2.99E-11,++,IL1R1;IL1R1,chr2,102764618,
cg03739177,6.64,3.08E-11,++,ABHD15,chr17,27889826,
cg13876222,6.64,3.11E-11,++,NOTCH1,chr9,139399348,
cg07032852,6.64,3.13E-11,++,,chr9,140068071,
cg10142520,6.64,3.14E-11,++,EHBP1L1,chr11,65344604,
cg23512275,6.64,3.19E-11,++,LOC284837,chr21,45232595,
cg13416193,-6.64,3.19E-11,--,EPB41L3,chr18,5579338,
cg09865488,-6.64,3.20E-11,--,CARD11,chr7,2996642,
cg22663897,6.64,3.23E-11,++,ISPD;ISPD;ISPD-AS1;ISPD-AS1,chr7,16308720,
cg22199562,-6.64,3.24E-11,--,C8orf22,chr8,49977569,
cg03044533,-6.63,3.28E-11,--,MAML2,chr11,96065844,
cg10002435,6.63,3.29E-11,++,NPLOC4,chr17,79577359,
cg00909668,-6.63,3.30E-11,--,AGO2;AGO2,chr8,141582617,
cg20589883,6.63,3.34E-11,++,ELOVL6;ELOVL6,chr4,111115135,
cg20792833,6.63,3.36E-11,++,PTPRCAP,chr11,67205195,
cg09804616,6.63,3.43E-11,++,KIAA1949;KIAA1949,chr6,30644832,
cg21522988,-6.63,3.45E-11,--,FAR2,chr12,29376872,
cg07387383,6.63,3.46E-11,++,,chr3,194722955,
cg19712821,6.62,3.51E-11,++,FGFBP2,chr4,15965016,
cg18282388,6.62,3.56E-11,++,TMEM45B,chr11,129716470,
cg16952663,-6.62,3.59E-11,--,PXDN,chr2,1735930,
cg04811411,-6.62,3.65E-11,--,SNORD80;SNORD79;GAS5;SNORD81;SNORD47,chr1,173834585,
cg05638842,-6.62,3.66E-11,--,,chr6,16999919,
cg09727611,6.62,3.68E-11,++,AKAP2;PALM2-AKAP2;PALM2-AKAP2;AKAP2;AKAP2,chr9,112887685,
cg09645045,-6.62,3.70E-11,--,IMMP2L;IMMP2L,chr7,110767225,
cg10610528,-6.62,3.70E-11,--,HMGA1;HMGA1;HMGA1;HMGA1;HMGA1;HMGA1,chr6,34206540,
cg16607196,6.61,3.84E-11,++,TONSL;TONSL-AS1,chr8,145665118,
cg24713122,6.60,4.02E-11,++,DGKZ;DGKZ;DGKZ;DGKZ,chr11,46389164,
cg12848502,-6.60,4.04E-11,--,GNAQ,chr9,80569320,
cg08932985,-6.60,4.06E-11,--,HOXA10;HOXA10-HOXA9;HOXA10,chr7,27214460,
cg09406731,6.60,4.10E-11,++,SH3GL3;SH3GL3;SH3GL3;SH3GL3,chr15,84131764,
cg08930413,6.60,4.17E-11,++,PRKAG2,chr7,151548036,
cg24265600,-6.60,4.26E-11,--,CXADR,chr21,18962890,
cg10124993,6.59,4.30E-11,++,CDCA4;CDCA4,chr14,105478712,
cg12384562,-6.59,4.35E-11,--,PARD3B;PARD3B;PARD3B;PARD3B,chr2,205707683,
cg26841068,-6.59,4.36E-11,--,PRELP;PRELP,chr1,203456691,
cg03862353,-6.59,4.38E-11,--,LINC01411,chr5,173919808,
cg11630384,6.59,4.39E-11,++,,chr21,43584887,
cg08973191,6.59,4.44E-11,++,SCRIB;SCRIB,chr8,144894328,
cg16433462,-6.59,4.48E-11,--,RBM33,chr7,155461344,
cg26648465,6.59,4.50E-11,++,KIAA0182;KIAA0182,chr16,85676412,
cg27054084,-6.59,4.50E-11,--,CSNK1G3;CSNK1G3;CSNK1G3;CSNK1G3,chr5,122851781,
cg00902185,6.59,4.53E-11,++,RTN4R,chr22,20232832,
cg03348845,6.58,4.61E-11,++,,chr1,26402313,
cg15172739,-6.58,4.62E-11,--,SNORD30;SNORD22;SNORD31;SNHG1,chr11,62621258,
cg23748990,-6.58,4.65E-11,--,PCOLCE2,chr3,142582445,
cg21919766,6.58,4.69E-11,++,NLRX1;NLRX1;NLRX1;NLRX1,chr11,119051923,
cg14628343,-6.58,4.71E-11,--,,chr8,58788163,
cg02304370,6.58,4.73E-11,++,PHRF1,chr11,587926,
cg19731612,-6.58,4.74E-11,--,NSD1;NSD1,chr5,176559334,
cg25102206,-6.58,4.74E-11,--,JDP2;JDP2;JDP2;JDP2,chr14,75897342,
cg25009842,6.58,4.79E-11,++,ARID1B;ARID1B;ARID1B,chr6,157505558,
cg19668951,6.58,4.82E-11,++,SLC39A13;SLC39A13,chr11,47430812,
cg13485293,6.58,4.85E-11,++,PIK3R2;PIK3R2,chr19,18279106,
cg12989718,6.58,4.85E-11,++,MGRN1;MGRN1;MGRN1;MGRN1;MGRN1,chr16,4739352,
cg16853770,6.58,4.86E-11,++,VPS37B,chr12,123355562,
cg23514673,-6.58,4.86E-11,--,,chr16,22303346,
cg01359810,6.58,4.88E-11,++,,chr7,47687075,
cg05889881,6.57,4.88E-11,++,TCF3;TCF3,chr19,1626684,
cg04429328,6.57,4.89E-11,++,,chr5,135352861,
cg17466510,-6.57,5.18E-11,--,,chr1,116877566,
cg07796002,6.56,5.30E-11,++,ARHGEF1;ARHGEF1;ARHGEF1,chr19,42392337,
cg12623364,-6.56,5.34E-11,--,LEF1;LEF1;LEF1;LEF1,chr4,109038130,
cg07312086,-6.56,5.37E-11,--,ECM2;ECM2;ECM2;CENPP;CENPP,chr9,95268902,
cg21129137,-6.56,5.41E-11,--,SP100;SP100;SP100;SP100;SP100;SP100,chr2,231288854,
cg09292504,-6.56,5.43E-11,--,ZBTB17;ZBTB17;ZBTB17;ZBTB17,chr1,16280103,
cg23514375,6.56,5.43E-11,++,DCUN1D2,chr13,114129039,
cg05992368,6.56,5.44E-11,++,PRPF8,chr17,1572755,
cg03373887,6.56,5.49E-11,++,SAMM50,chr22,44389424,
cg12807764,-6.56,5.50E-11,--,,chr5,146864669,
cg03531237,6.55,5.70E-11,++,ABI2;ABI2;ABI2;ABI2,chr2,204192362,
cg19139151,-6.55,5.85E-11,--,,chr3,189924268,
cg07466788,6.55,5.89E-11,++,SLC16A3;SLC16A3;SLC16A3,chr17,80194552,
cg09803092,6.55,5.95E-11,++,,chr15,91381597,
cg17540105,-6.54,5.99E-11,--,AKAP12,chr6,151634287,
cg09413378,6.54,6.09E-11,++,ADCY5,chr3,123140729,
cg12303610,6.54,6.18E-11,++,TRABD,chr22,50636559,
cg15773890,-6.54,6.24E-11,--,,chr6,17259549,
cg17593384,-6.54,6.26E-11,--,AFF1;AFF1,chr4,88000269,
cg27325224,6.54,6.28E-11,++,CA5A,chr16,87946544,
cg16759488,-6.54,6.29E-11,--,OSBPL10;OSBPL10,chr3,31709941,
cg04800503,6.54,6.30E-11,++,HOXB3,chr17,46648533,
cg14482712,-6.54,6.34E-11,--,,chr15,40348303,
cg06739059,-6.53,6.42E-11,--,ITPRIPL1;ITPRIPL1;ITPRIPL1;ITPRIPL1,chr2,96991826,
cg04022401,6.53,6.43E-11,++,TTI1;TTI1,chr20,36621383,
cg25593249,-6.53,6.52E-11,--,ERC2,chr3,55651043,
cg15251675,-6.53,6.72E-11,--,,chr6,41593339,
cg25632986,6.53,6.78E-11,++,E2F4,chr16,67229444,
cg03856144,-6.52,6.85E-11,--,CAMTA1,chr1,7705567,
cg06824423,6.52,6.87E-11,++,ARID1B;ARID1B;ARID1B,chr6,157505631,
cg21928095,6.52,6.93E-11,++,,chr19,36100748,
cg02140876,6.52,6.96E-11,++,PTK2;PTK2;PTK2,chr8,141678446,
cg15441416,6.52,6.96E-11,++,LENG8,chr19,54972047,
cg10609883,-6.52,7.02E-11,--,,chr11,35835819,
cg15026637,-6.52,7.21E-11,--,,chr12,43295760,
cg03840289,6.52,7.22E-11,++,MXD4,chr4,2262318,
cg07794938,-6.51,7.37E-11,--,SLIT2;SLIT2;SLIT2,chr4,20420862,
cg05975710,6.51,7.46E-11,++,ARHGEF17,chr11,73078836,
cg12667125,6.51,7.47E-11,++,C1orf216,chr1,36181447,
cg05871405,6.51,7.55E-11,++,USP10;USP10;USP10;USP10,chr16,84793054,
cg01764256,-6.51,7.55E-11,--,ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8;ZMYND8,chr20,45985832,
cg25773262,-6.51,7.63E-11,--,BCAN;BCAN,chr1,156616855,
cg20396557,6.51,7.67E-11,++,FOXP1;FOXP1;FOXP1;FOXP1;FOXP1;FOXP1;FOXP1,chr3,71275993,
cg20321719,6.51,7.70E-11,++,POMT1;POMT1;POMT1;POMT1;POMT1,chr9,134394131,
cg04157865,6.51,7.71E-11,++,TBC1D16,chr17,77914162,
cg04259566,-6.51,7.73E-11,--,LDB3;LDB3;LDB3,chr10,88477842,
cg14244842,-6.51,7.73E-11,--,,chr4,86935922,
cg05762075,-6.50,7.85E-11,--,XXYLT1;XXYLT1,chr3,194894672,
cg03337218,-6.50,7.94E-11,--,PRTFDC1,chr10,25189866,
cg26542091,6.50,8.01E-11,++,UPF1,chr19,18974273,
cg02334523,6.50,8.04E-11,++,ZNF395,chr8,28204404,
cg12939085,6.50,8.12E-11,++,PPP1CA;PPP1CA;PPP1CA,chr11,67166104,
cg24227770,6.50,8.17E-11,++,GUK1;GUK1;GUK1;GUK1;GUK1;GJC2,chr1,228336392,
cg00457494,6.50,8.28E-11,++,PTPRF;PTPRF,chr1,44034998,
cg06024215,6.50,8.29E-11,++,SEC14L1;SEC14L1;SEC14L1;SEC14L1;SEC14L1,chr17,75210996,
cg14262884,-6.49,8.40E-11,--,HSD17B12,chr11,43757533,
cg06829584,-6.49,8.47E-11,--,,chr10,75659483,
cg02408464,-6.49,8.57E-11,--,,chr11,103746841,
cg01264131,-6.49,8.63E-11,--,PDE7A,chr8,66749125,
cg09029192,6.49,8.64E-11,++,TNRC6C;TNRC6C,chr17,76015204,
cg02169553,6.49,8.67E-11,++,FAM38A,chr16,88784822,
cg10874168,-6.49,8.70E-11,--,ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3,chr1,44298113,
cg11029253,-6.48,8.91E-11,--,CHMP4C,chr8,82643667,
cg04260224,6.48,8.94E-11,++,RGS12;RGS12,chr4,3344008,
cg14240593,6.48,8.99E-11,++,NFIC;NFIC;NFIC;NFIC;NFIC,chr19,3409474,
cg13759797,-6.48,9.06E-11,--,LOC102477328,chr5,71896539,
cg08404702,6.48,9.14E-11,++,TSC2;TSC2;TSC2,chr16,2133388,
cg07491369,-6.48,9.26E-11,--,,chr6,14025358,
cg05784862,-6.48,9.28E-11,--,KSR1,chr17,25799018,
cg21975725,-6.48,9.38E-11,--,,chr5,90592599,
cg07830855,-6.47,9.68E-11,--,DST;DST;DST;DST,chr6,56524142,
cg16100392,-6.47,9.77E-11,--,TAAR3,chr6,132931717,
cg20897301,6.47,9.80E-11,++,MYH9,chr22,36725023,
cg12085407,-6.47,9.89E-11,--,LOC101927156,chr2,182055658,
cg03506344,6.47,9.90E-11,++,GIGYF1,chr7,100287170,
cg01425762,6.47,9.91E-11,++,CMIP;CMIP,chr16,81666633,
cg11378067,-6.47,1.01E-10,--,POLR1C;YIPF3,chr6,43486161,
cg14480266,-6.46,1.03E-10,--,,chr11,23134523,
cg01364442,-6.46,1.04E-10,--,,chr3,152357181,
cg01562540,6.46,1.05E-10,++,,chr14,56274296,
cg27009246,-6.46,1.05E-10,--,HBG2,chr11,5276490,
cg23535171,-6.46,1.05E-10,--,FMO1;FMO1;FMO1;FMO1,chr1,171226354,
cg15197657,6.46,1.07E-10,++,PDLIM7;PDLIM7,chr5,176916434,
cg19619585,6.46,1.09E-10,++,ASB7;ASB7,chr15,101170019,
cg05432083,6.45,1.09E-10,++,,chr15,99995383,
cg10177030,-6.45,1.09E-10,--,C20orf199;C20orf199;SNORD12;C20orf199,chr20,47897207,
cg25479215,-6.45,1.10E-10,--,,chr14,97875438,
cg02475902,6.45,1.10E-10,++,,chr3,195542553,
cg10473480,6.45,1.10E-10,++,KDM2A;KDM2A,chr11,67001525,
cg10475276,-6.45,1.10E-10,--,POU2F3;POU2F3,chr11,120143355,
cg14330293,6.45,1.14E-10,++,MYO1C;MYO1C;MYO1C,chr17,1374051,
cg08150816,-6.45,1.14E-10,--,NME7;NME7;NME7,chr1,169281716,
cg21683914,-6.45,1.15E-10,--,ARHGAP24,chr4,86580345,
cg23866916,6.44,1.16E-10,++,SBNO2,chr19,1155738,
cg22581264,-6.44,1.18E-10,--,PGM5,chr9,71130461,
cg09329178,-6.44,1.18E-10,--,TNFAIP3;TNFAIP3;TNFAIP3,chr6,138192206,
cg21490379,-6.44,1.18E-10,--,,chr14,96715899,
